ticker,volume,open,close,high,low,window_start,transactions
C:EURUSD,144,1.08154,1.0816,1.08165,1.0814,1679964960000000000,144
C:EURUSD,75,1.08151,1.08163,1.08165,1.0814,1679965020000000000,75
C:EURUSD,113,1.08162,1.08176,1.08177,1.0814,1679965080000000000,113
C:EURUSD,77,1.08175,1.08164,1.08177,1.0815,1679965140000000000,77
C:EURUSD,129,1.08162,1.08158,1.08169,1.0814,1679965200000000000,129
C:EURUSD,94,1.08158,1.08155,1.08173,1.0814,1679965260000000000,94
C:EURUSD,83,1.08154,1.08148,1.0816,1.0813,1679965320000000000,83
C:EURUSD,90,1.08147,1.08151,1.08153,1.0813,1679965380000000000,90
C:EURUSD,135,1.08149,1.08164,1.08167,1.0813,1679965440000000000,135
C:EURUSD,106,1.08163,1.08159,1.0817,1.0814,1679965500000000000,106
C:EURUSD,120,1.08161,1.08179,1.0818,1.0815,1679965560000000000,120
C:EURUSD,144,1.0818,1.08184,1.08196,1.0817,1679965620000000000,144
C:EURUSD,148,1.08176,1.08179,1.08188,1.0817,1679965680000000000,148
C:EURUSD,131,1.0818,1.08176,1.0819,1.0816,1679965740000000000,131
C:EURUSD,99,1.08177,1.08157,1.0818,1.0814,1679965800000000000,99
C:EURUSD,104,1.08158,1.08156,1.08162,1.0814,1679965860000000000,104
C:EURUSD,78,1.08156,1.08151,1.0816,1.0814,1679965920000000000,78
C:EURUSD,132,1.08151,1.08152,1.0816,1.0813,1679965980000000000,132
C:EURUSD,130,1.08151,1.08133,1.08152,1.08127,1679966040000000000,130
C:EURUSD,170,1.08132,1.08151,1.08156,1.08132,1679966100000000000,170
C:EURUSD,129,1.0815,1.08133,1.0816,1.0811,1679966160000000000,129
C:EURUSD,116,1.08133,1.08132,1.08142,1.0812,1679966220000000000,116
C:EURUSD,135,1.08126,1.08118,1.08132,1.081,1679966280000000000,135
C:EURUSD,64,1.08121,1.08114,1.08121,1.081,1679966340000000000,64
C:EURUSD,122,1.08113,1.08123,1.08123,1.081,1679966400000000000,122
C:EURUSD,100,1.08119,1.08114,1.08123,1.081,1679966460000000000,100
C:EURUSD,125,1.08115,1.08116,1.08122,1.0809,1679966520000000000,125
C:EURUSD,87,1.08115,1.08116,1.08124,1.081,1679966580000000000,87
C:EURUSD,111,1.08117,1.08115,1.0812,1.0809,1679966640000000000,111
C:EURUSD,109,1.081,1.08127,1.0813,1.081,1679966700000000000,109
C:EURUSD,104,1.08128,1.08127,1.0813,1.0811,1679966760000000000,104
C:EURUSD,111,1.08123,1.08131,1.08132,1.0811,1679966820000000000,111
C:EURUSD,94,1.0813,1.08123,1.0813,1.0811,1679966880000000000,94
C:EURUSD,87,1.0811,1.08134,1.08136,1.0811,1679966940000000000,87
C:EURUSD,99,1.08131,1.08138,1.08145,1.0812,1679967000000000000,99
C:EURUSD,169,1.08137,1.08161,1.08177,1.08137,1679967060000000000,169
C:EURUSD,122,1.08155,1.08144,1.08161,1.0812,1679967120000000000,122
C:EURUSD,117,1.08144,1.08145,1.08153,1.0813,1679967180000000000,117
C:EURUSD,114,1.08149,1.08132,1.08157,1.0812,1679967240000000000,114
C:EURUSD,76,1.08134,1.0814,1.0814,1.0811,1679967300000000000,76
C:EURUSD,98,1.08129,1.08136,1.0814,1.0812,1679967360000000000,98
C:EURUSD,118,1.08136,1.08127,1.08141,1.0812,1679967420000000000,118
C:EURUSD,125,1.08123,1.08121,1.0813,1.081,1679967480000000000,125
